,OverallQuality,OverallCondition,LotArea,LotShape,BldgTp,YearBuilt,YearRemodel,VeneerExterior,BsmtFinTp,BsmtFinSqft,BsmtUnfinSqft,HeatingQC,FstFlrSqft,SecFlrSqft,FullBathBsmt,HalfBathHouse,FullBathHouse,BdrmAbvGrnd,RmAbvGrnd,Fireplaces,GarageTp,GarageCars,WdDckSqft,OpenPrchSqft,PID,SalePrice Predicted
0,8.0,5.0,8987.0,1.0,1.0,2005.0,2006.0,226.0,0.0,0.0,1595.0,3.0,1595.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,3.0,3.0,144.0,0.0,528445060.0,214329.22565522368
1,7.0,5.0,9215.0,1.0,1.0,2009.0,2010.0,0.0,0.0,0.0,1218.0,3.0,1218.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,2.0,0.0,136.0,528456160.0,199978.16654601422
2,7.0,5.0,8640.0,1.0,1.0,2009.0,2009.0,0.0,1.0,24.0,732.0,3.0,764.0,783.0,0.0,1.0,2.0,3.0,7.0,0.0,3.0,2.0,169.0,45.0,528458070.0,198975.2132862479
3,7.0,5.0,6762.0,1.0,1.0,2006.0,2006.0,24.0,1.0,686.0,501.0,3.0,1208.0,0.0,1.0,0.0,2.0,2.0,6.0,0.0,3.0,2.0,105.0,61.0,906380190.0,185976.84385359593
4,7.0,5.0,10402.0,0.0,1.0,2009.0,2009.0,0.0,0.0,0.0,1226.0,3.0,1226.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,3.0,3.0,0.0,36.0,906385010.0,181552.62154538895
5,7.0,5.0,7360.0,1.0,1.0,2010.0,2010.0,80.0,1.0,24.0,1198.0,3.0,1222.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,3.0,2.0,0.0,54.0,906385020.0,195299.5706823393
6,7.0,5.0,7795.0,0.0,1.0,2004.0,2005.0,0.0,1.0,425.0,291.0,3.0,716.0,716.0,1.0,1.0,2.0,3.0,6.0,1.0,3.0,2.0,100.0,51.0,528235010.0,186071.7846462293
7,6.0,5.0,8068.0,0.0,1.0,2002.0,2002.0,0.0,0.0,0.0,1010.0,3.0,1010.0,1257.0,0.0,1.0,2.0,4.0,8.0,1.0,2.0,2.0,120.0,46.0,528235090.0,206500.92571627614
8,7.0,5.0,10125.0,0.0,1.0,2004.0,2004.0,0.0,0.0,0.0,846.0,3.0,846.0,748.0,0.0,1.0,20.0,3.0,7.0,1.0,3.0,2.0,300.0,48.0,528240150.0,180030.03111528666
9,7.0,5.0,8965.0,0.0,1.0,2003.0,2003.0,0.0,1.0,652.0,130.0,3.0,806.0,683.0,1.0,1.0,2.0,3.0,8.0,1.0,3.0,2.0,0.0,75.0,528250020.0,184064.04857140905
